time_5min,mw
1/1/2016 0:00,18185.2
1/1/2016 0:05,18041.4
1/1/2016 0:10,17950.7
1/1/2016 0:15,17889.5
1/1/2016 0:20,17726
1/1/2016 0:25,17712.4
1/1/2016 0:30,17669.2
1/1/2016 0:35,17552.6
1/1/2016 0:40,17484.9
1/1/2016 0:45,17451.7
1/1/2016 0:50,17426.5
1/1/2016 0:55,17340.7
1/1/2016 1:00,17286.8
1/1/2016 1:05,17195.7
1/1/2016 1:10,17174.6
1/1/2016 1:15,17091.5
1/1/2016 1:20,17085.9
1/1/2016 1:25,16986.6
1/1/2016 1:30,16989
1/1/2016 1:35,16917.9
1/1/2016 1:40,16813.2
1/1/2016 1:45,16797.9
1/1/2016 1:50,16732.7
1/1/2016 1:55,16665.9
1/1/2016 2:00,16652.7
1/1/2016 2:05,16608.1
1/1/2016 2:10,16567.2
1/1/2016 2:15,16491.1
1/1/2016 2:20,16433.1
1/1/2016 2:25,16428.2
1/1/2016 2:30,16395.8
1/1/2016 2:35,16336.2
1/1/2016 2:40,16307
1/1/2016 2:45,16280.2
1/1/2016 2:50,16212
1/1/2016 2:55,16204.7
1/1/2016 3:00,16212.9
1/1/2016 3:05,16212.8
1/1/2016 3:10,16161.8
1/1/2016 3:15,16118.5
1/1/2016 3:20,16082.1
1/1/2016 3:25,16065.7
1/1/2016 3:30,15991.3
1/1/2016 3:35,15999.4
1/1/2016 3:40,16001.2
1/1/2016 3:45,16019.4
1/1/2016 3:50,15955.4
1/1/2016 3:55,15951.9
1/1/2016 4:00,15952.4
1/1/2016 4:05,15887.8
1/1/2016 4:10,15916.4
1/1/2016 4:15,15943.6
1/1/2016 4:20,15886.9
1/1/2016 4:25,15968.7
1/1/2016 4:30,15933.1
1/1/2016 4:35,15937.2
1/1/2016 4:40,15907.1
1/1/2016 4:45,15915.7
1/1/2016 4:50,15936.5
1/1/2016 4:55,15954.5
1/1/2016 5:00,15978.1
1/1/2016 5:05,15868.4
1/1/2016 5:10,15947.3
1/1/2016 5:15,15956.5
1/1/2016 5:20,15953.5
1/1/2016 5:25,15984.3
1/1/2016 5:30,16007.9
1/1/2016 5:35,16002.2
1/1/2016 5:40,16018.3
1/1/2016 5:45,16111.4
1/1/2016 5:50,16088.6
1/1/2016 5:55,16108.6
1/1/2016 6:00,16128.4
1/1/2016 6:05,16109.8
1/1/2016 6:10,16269.2
1/1/2016 6:15,16374.6
1/1/2016 6:20,16367.6
1/1/2016 6:25,16426
1/1/2016 6:30,16439.6
1/1/2016 6:35,16475.8
1/1/2016 6:40,16484.7
1/1/2016 6:45,16498.3
1/1/2016 6:50,16594.7
1/1/2016 6:55,16567.5
1/1/2016 7:00,16616.7
1/1/2016 7:05,16614.2
1/1/2016 7:10,16522.8
1/1/2016 7:15,16615
1/1/2016 7:20,16656.8
1/1/2016 7:25,16619.2
1/1/2016 7:30,16644.2
1/1/2016 7:35,16596.5
1/1/2016 7:40,16623.1
1/1/2016 7:45,16662.2
1/1/2016 7:50,16638.7
1/1/2016 7:55,16678.7
1/1/2016 8:00,16698
1/1/2016 8:05,16775.3
1/1/2016 8:10,16839.5
1/1/2016 8:15,16867.5
1/1/2016 8:20,16901.9
1/1/2016 8:25,16949.1
1/1/2016 8:30,16942.4
1/1/2016 8:35,17006.8
1/1/2016 8:40,17077.7
1/1/2016 8:45,17079.2
1/1/2016 8:50,17139.2
1/1/2016 8:55,17194.4
1/1/2016 9:00,17242.7
1/1/2016 9:05,17339.7
1/1/2016 9:10,17383.4
1/1/2016 9:15,17362.3
1/1/2016 9:20,17451.3
1/1/2016 9:25,17459.6
1/1/2016 9:30,17559.4
1/1/2016 9:35,17607.5
1/1/2016 9:40,17641.4
1/1/2016 9:45,17704.2
1/1/2016 9:50,17756.1
1/1/2016 9:55,17790.2
1/1/2016 10:00,17889
1/1/2016 10:05,17949
1/1/2016 10:10,17989.5
1/1/2016 10:15,18039.4
1/1/2016 10:20,18120.3
1/1/2016 10:25,18165.5
1/1/2016 10:30,18201
1/1/2016 10:35,18222.7
1/1/2016 10:40,18283.4
1/1/2016 10:45,18288.8
1/1/2016 10:50,18349.5
1/1/2016 10:55,18354.6
1/1/2016 11:00,18428.6
1/1/2016 11:05,18422.7
1/1/2016 11:10,18464.9
1/1/2016 11:15,18495.2
1/1/2016 11:20,18536.4
1/1/2016 11:25,18574.7
1/1/2016 11:30,18622.9
1/1/2016 11:35,18606.7
1/1/2016 11:40,18622.4
1/1/2016 11:45,18624.4
1/1/2016 11:50,18633.4
1/1/2016 11:55,18681.4
1/1/2016 12:00,18689.7
1/1/2016 12:05,18694.7
1/1/2016 12:10,18724
1/1/2016 12:15,18808
1/1/2016 12:20,18800.7
1/1/2016 12:25,18825.4
1/1/2016 12:30,18854.5
1/1/2016 12:35,18860.9
1/1/2016 12:40,18795.8
1/1/2016 12:45,18810.8
1/1/2016 12:50,18808.5
1/1/2016 12:55,18836.3
1/1/2016 13:00,18846.3
1/1/2016 13:05,18808.3
1/1/2016 13:10,18803.9
1/1/2016 13:15,18823.5
1/1/2016 13:20,18803.7
1/1/2016 13:25,18845.4
1/1/2016 13:30,18854.6
1/1/2016 13:35,18879.7
1/1/2016 13:40,18895
1/1/2016 13:45,18871.3
1/1/2016 13:50,18869
1/1/2016 13:55,18854.4
1/1/2016 14:00,18851.3
1/1/2016 14:05,18890.7
1/1/2016 14:10,18827.9
1/1/2016 14:15,18836.6
1/1/2016 14:20,18873.5
1/1/2016 14:25,18885
1/1/2016 14:30,18909.6
1/1/2016 14:35,18866.3
1/1/2016 14:38,18905.5
1/1/2016 14:40,18847.5
1/1/2016 14:45,18889.7
1/1/2016 14:50,18857.6
1/1/2016 14:55,18848.5
1/1/2016 15:00,18894.4
1/1/2016 15:05,18917.7
1/1/2016 15:10,18910.4
1/1/2016 15:15,18946.4
1/1/2016 15:20,18961.6
1/1/2016 15:25,18981
1/1/2016 15:30,18983.6
1/1/2016 15:35,19015.7
1/1/2016 15:40,19058.3
1/1/2016 15:45,19076.4
1/1/2016 15:50,19167.4
1/1/2016 15:55,19175.4
1/1/2016 16:00,19194
1/1/2016 16:05,19274.9
1/1/2016 16:10,19379.2
1/1/2016 16:15,19374.7
1/1/2016 16:20,19496.2
1/1/2016 16:25,19597.4
1/1/2016 16:30,19721
1/1/2016 16:35,19855.8
1/1/2016 16:40,20025.7
1/1/2016 16:45,20175.4
1/1/2016 16:50,20435.2
1/1/2016 16:55,20610.3
1/1/2016 17:00,20843.4
1/1/2016 17:05,20973.1
1/1/2016 17:10,21116.1
1/1/2016 17:15,21162.8
1/1/2016 17:20,21242.2
1/1/2016 17:25,21286.6
1/1/2016 17:30,21321.6
1/1/2016 17:35,21377.8
1/1/2016 17:40,21373.5
1/1/2016 17:45,21383.9
