time_5min,elec.J,gas.J
 01/01  00:05:00,4607020.78,31290167.61
 01/01  00:10:00,4608574.702,31313563.99
 01/01  00:15:00,4607978.644,31182778.22
 01/01  00:20:00,4607648.781,30966061.83
 01/01  00:25:00,4607012.533,30693371.6
 01/01  00:30:00,4606538.586,30466544.12
 01/01  00:35:00,4605981.45,30218273.28
 01/01  00:40:00,4605400.834,29963720.37
 01/01  00:45:00,4604803.309,29704719.14
 01/01  00:50:00,4604189.489,29441426.66
 01/01  00:55:00,4603558.518,29173174.25
 01/01  01:00:00,4602910.248,28900029.35
 01/01  01:05:00,4356316.69,29805402.61
 01/01  01:10:00,4356476.976,29855346.96
 01/01  01:15:00,4356623.474,29901983.91
 01/01  01:20:00,4356761.623,29945142.12
 01/01  01:25:00,4356882.953,29983879.41
 01/01  01:30:00,4356996.244,30019949.4
 01/01  01:35:00,4357092.534,30051229.93
 01/01  01:40:00,4357180.84,30079760.45
 01/01  01:45:00,4357258.037,30105329.68
 01/01  01:50:00,4357326.526,30128123.06
 01/01  01:55:00,4357388.537,30148926.45
 01/01  02:00:00,4357445.002,30168104.36
 01/01  02:05:00,4234201.994,30649086.98
 01/01  02:10:00,4234320.984,30698008.99
 01/01  02:15:00,4234436.936,30746102.55
 01/01  02:20:00,4234551.198,30793803.89
 01/01  02:25:00,4234664.384,30841178.96
 01/01  02:30:00,4234777.274,30888546.71
 01/01  02:35:00,4234890.493,30936137.86
 01/01  02:40:00,4235004.325,30983916.23
 01/01  02:45:00,4235119.317,31032129.41
 01/01  02:50:00,4235235.873,31080939.32
 01/01  02:55:00,4235354.05,31130234.29
 01/01  03:00:00,4235474.181,31180196.93
 01/01  03:05:00,4173935.168,31455106.79
 01/01  03:10:00,4174086.257,31516777.3
 01/01  03:15:00,4174240.57,31579504.98
 01/01  03:20:00,4174397.666,31643181.85
 01/01  03:25:00,4174557.271,31707608.03
 01/01  03:30:00,4174719.442,31772871.51
 01/01  03:35:00,4174884.162,31838997.9
 01/01  03:40:00,4175051.131,31905768.23
 01/01  03:45:00,4175220.365,31973263.34
 01/01  03:50:00,4175391.8,32041506.97
 01/01  03:55:00,4175565.089,32110257.21
 01/01  04:00:00,4175740.217,32179587.77
 01/01  04:05:00,4830116.984,29927708.17
 01/01  04:10:00,4830201.687,29957403.48
 01/01  04:15:00,4830288.623,29987780.76
 01/01  04:20:00,4830377.976,30018949
 01/01  04:25:00,4830469.354,30050647.69
 01/01  04:30:00,4830562.667,30082936.82
 01/01  04:35:00,4830657.719,30115791.16
 01/01  04:40:00,4830754.044,30148948.59
 01/01  04:45:00,4830851.469,30182424.06
 01/01  04:50:00,4830949.766,30216178.29
 01/01  04:55:00,4831048.505,30249978.97
 01/01  05:00:00,4831147.539,30283840.99
 01/01  05:05:00,6268566.834,25385361.65
 01/01  05:10:00,6268749.835,25455709.29
 01/01  05:15:00,6268935.476,25527020.48
 01/01  05:20:00,6269120.645,25597848.14
 01/01  05:25:00,6269306.848,25669042.61
 01/01  05:30:00,6269492.684,25740441.81
 01/01  05:35:00,6269678.182,25811189.42
 01/01  05:40:00,6269864.537,25882517.39
