seqgen12,pstatabb,pname,orispl,genid,numblr,genstat,prmvr,fuelg1,namepcap,cfact,genntan,genntoz,generrc,genyronl,notes
39,AK,Auke Bay,7250,4,0,SB,IC,DFO,2.5,0.001415525,31.0,0.0,F923NONK,1980,
40,AK,Aurora Energy LLC Chena,79,1,3,OP,ST,SUB,5,0.713584475,31255.0,0.0,F923ST,1952,
41,AK,Aurora Energy LLC Chena,79,2,3,OP,ST,SUB,2.5,0.216347032,4738.0,0.0,F923ST,1952,
43,AK,Aurora Energy LLC Chena,79,5,2,OP,ST,SUB,20,0.94413242,165412.0,0.0,F923ST,1975,
62,AK,Beluga,96,8,1,OP,CA,NG,62,0.555068861,301469.0,0.0,F923ST,1982,
72,AK,Black Bear Lake,7752,1,0,OP,HY,WAT,4.5,0.494596651,19497.0,0.0,F923NONK,1995,
78,AK,Chester Lake,7168,1,0,OP,HY,WAT,1,0.622374429,5452.0,0.0,F923NONK,1988,
124,AK,Eielson AFB Central Heat & Power Plant,50392,TG1,6,OP,ST,SUB,2.5,0.046347032,1015.0,0.0,F923ST,1952,
125,AK,Eielson AFB Central Heat & Power Plant,50392,TG2,6,OP,ST,SUB,2.5,0.001324201,29.0,0.0,F923ST,1952,
126,AK,Eielson AFB Central Heat & Power Plant,50392,TG3,6,OP,ST,SUB,5,0.247625571,10846.0,0.0,F923ST,1955,
127,AK,Eielson AFB Central Heat & Power Plant,50392,TG4,6,OP,ST,SUB,5,0.429086758,18794.0,0.0,F923ST,1969,
128,AK,Eielson AFB Central Heat & Power Plant,50392,TG5,6,OP,ST,SUB,10,0.476723744,41761.0,0.0,F923ST,1987,
171,AK,George M Sullivan Generation Plant 2,6559,6,2,OP,CA,NG,33,0.663830082,191900.0,0.0,F923ST,1979,
173,AK,George M Sullivan Generation Plant 2,6559,GT8,0,OP,GT,NG,92.6,0.225179246,182660.0,0.0,F923NONK,1984,
183,AK,Goat Lake Hydro,7751,1,0,OP,HY,WAT,4,0.465125571,16298.0,0.0,F923NONK,1997,
205,AK,Healy,6288,1,1,OP,ST,SUB,28,0.878208578,215407.0,0.0,F923ST,1967,
206,AK,Healy,6288,IC1,0,OP,IC,DFO,2.8,0.000693085,17.0,0.0,F923NONK,1967,
239,AK,Kasidaya Creek Hydro,56542,1,0,OP,HY,WAT,3,0.263127854,6915.0,0.0,F923NONK,2008,
254,AK,King Cove,7493,4,0,OP,HY,WAT,0.8,3.497431507,24510.0,0.0,F923NONK,1995,
309,AK,Lake Dorothy Hydroelectric Project,57085,1,0,OP,HY,WAT,14.3,0.674290322,84467.0,0.0,F923NONK,2009,
354,AK,Nikiski Co-Generation,55966,GT1,0,OP,GT,NG,37.9,0.720111806,239080.0,0.0,F923NONK,1986,
364,AK,North Pole,6285,GT3,0,OP,CT,JF,47,0.771502477,317643.0,0.0,F923NONK,2007,
365,AK,North Pole,6285,STG1,1,OP,CA,JF,13,0.930356516,105949.0,0.0,F923ST,2007,
444,AK,Petersburg,91,3,0,OP,HY,WAT,1.6,0.945990297,13259.0,0.0,F923NONK,1954,
474,AK,Salmon Creek 1,65,HY7,0,OP,HY,WAT,8.5,0.381359119,28396.0,0.0,F923NONK,1984,
509,AK,Silvis,6581,1,0,OP,HY,WAT,2.1,0.747173299,13745.0,0.0,F923NONK,1968,
533,AK,South Fork,56265,1,0,OP,HY,WAT,2,0.377511416,6614.0,0.0,F923NONK,2005,
593,AK,Unalaska Power Module,7503,7,0,OP,IC,DFO,1.1,0.014321295,138.0,0.0,F923NONK,1993,
604,AK,University of Alaska Fairbanks,50711,GEN1,4,OP,ST,SUB,1.5,0.11499239,1511.0,0.0,F923ST,1964,
605,AK,University of Alaska Fairbanks,50711,GEN2,4,OP,ST,SUB,1.5,0.204185693,2683.0,0.0,F923ST,1964,
606,AK,University of Alaska Fairbanks,50711,GEN3,4,OP,ST,SUB,10,0.564486301,49449.0,0.0,F923ST,1981,
607,AK,University of Alaska Fairbanks,50711,GEN4,0,OP,IC,DFO,9.6,0.022257896,1871.8,0.0,F923NONK,2000,
611,AK,Utility Plants Section,50308,GEN1,6,OP,ST,SUB,5,0.635388128,27830.0,0.0,F923ST,1955,
613,AK,Utility Plants Section,50308,GEN3,6,OP,ST,SUB,5,0.804885845,35254.0,0.0,F923ST,1955,
614,AK,Utility Plants Section,50308,GEN4,6,OP,ST,SUB,5,1.038744292,45497.0,0.0,F923ST,1955,
615,AK,Utility Plants Section,50308,GEN5,6,OP,ST,SUB,5,0.939360731,41144.0,0.0,F923ST,1989,
622,AK,Valdez,6306,7,0,OP,GT,DFO,2.8,0.001019243,25.0,0.0,F923NONK,1976,
623,AK,Valdez Cogen,7841,1,0,OP,GT,JF,5.3,0.638730938,29655.0,0.0,F923NONK,2000,
647,AL,ABC Coke,56076,1,0,OP,ST,OG,3.8,0.606614996,20193.0,0.0,F923NONK,1997,
648,AL,Alabama Pine Pulp,54429,GEN2,2,OP,ST,BLQ,69,0.10412117,62935.0,0.0,F923ST,1991,
649,AL,Alabama River Pulp,10216,GEN1,2,OP,ST,BLQ,48,0.027085712,11389.0,0.0,F923ST,1978,
659,AL,Bankhead Dam,2,1,0,OP,HY,WAT,45,0.403805175,159180.0,0.0,F923NONK,1963,
660,AL,Barry,3,1,1,OP,ST,BIT,153.1,0.113411117,152102.0,0.0,F923ST,1954,
661,AL,Barry,3,2,1,OP,ST,BIT,153.1,0.092017633,123410.0,0.0,F923ST,1954,
662,AL,Barry,3,3,1,OP,ST,BIT,272,0.208399224,496557.0,0.0,F923ST,1959,
663,AL,Barry,3,4,1,OP,ST,BIT,403.7,0.323123833,1142699.0,0.0,F923ST,1969,
664,AL,Barry,3,5,1,OP,ST,BIT,788.8,0.492682226,3404379.0,0.0,F923ST,1971,
667,AL,Barry,3,A1ST,2,OP,CA,NG,195.2,0.827569429,1415104.0,0.0,F923ST,2000,
670,AL,Barry,3,A2ST,2,OP,CA,NG,195.2,0.839771526,1435969.0,0.0,F923ST,2000,
682,AL,Boise Cascade Pulp & Paper Mill,55044,STG1,4,OP,ST,NG,18,0.773617453,121984.0,0.0,F923ST,1996,
683,AL,Browns Ferry,46,1,1,OP,ST,NUC,1152,0.842559198,8502703.0,0.0,F923NK,1974,
