time_5min,elec.J,gas.J
01/01 00:05:00,27498231.10209,10120878.46163
01/01 00:10:00,27288443.25119,9848619.0442
01/01 00:15:00,27071720.75872,9576371.55375
01/01 00:20:00,26850034.89301,9304131.12175
01/01 00:25:00,26624111.05001,9031732.8379
01/01 00:30:00,26394097.93257,8759287.28551
01/01 00:35:00,26160780.48771,8486784.69837
01/01 00:40:00,25924885.32864,8214215.30966
01/01 00:45:00,25686672.96305,7941570.76247
01/01 00:50:00,25446149.65099,7668842.03738
01/01 00:55:00,25203761.1903,7396019.50541
01/01 01:00:00,24959486.06819,7123092.21031
01/01 01:05:00,24957045.13973,7126867.35306
01/01 01:10:00,24967087.31961,7130484.14724
01/01 01:15:00,24983003.90772,7134040.45984
01/01 01:20:00,25001631.78053,7137541.97815
01/01 01:25:00,25022027.65456,7140997.16817
01/01 01:30:00,25043921.50277,7144421.60399
01/01 01:35:00,25066827.96479,7147819.11067
01/01 01:40:00,25090678.12639,7151184.00169
01/01 01:45:00,25115172.90213,7154506.47247
01/01 01:50:00,25140297.4881,7157777.1776
01/01 01:55:00,25165847.24049,7160987.42658
01/01 02:00:00,25191818.36022,7164130.44927
01/01 02:05:00,25231891.91078,7209575.61292
01/01 02:10:00,25273516.69344,7254935.43158
01/01 02:15:00,25315659.44019,7300209.99964
01/01 02:20:00,25357985.7792,7345397.24465
01/01 02:25:00,25400344.44222,7390494.80494
01/01 02:30:00,25442677.77238,7435502.58678
01/01 02:35:00,25484894.31305,7480418.99324
01/01 02:40:00,25526918.66856,7525247.79841
01/01 02:45:00,25568652.03562,7569995.49429
01/01 02:50:00,25609901.55904,7614666.94026
01/01 02:55:00,25650519.57608,7659261.98198
01/01 03:00:00,25691249.76829,7703780.94915
01/01 03:05:00,25739014.55252,7756925.96952
01/01 03:10:00,25786934.9245,7810009.27869
01/01 03:15:00,25836044.06974,7863030.06721
01/01 03:20:00,25883497.05578,7915994.32739
01/01 03:25:00,25933260.44021,7968906.68354
01/01 03:30:00,25980159.45671,8021773.41121
01/01 03:35:00,26028445.30912,8074598.11458
01/01 03:40:00,26076124.81378,8127386.28329
01/01 03:45:00,26122795.8091,8180141.35587
01/01 03:50:00,26169525.67803,8232868.73084
01/01 03:55:00,26215904.52019,8285571.82534
01/01 04:00:00,26261763.9861,8338255.73855
01/01 04:05:00,26287256.22304,8340318.12916
01/01 04:10:00,26309166.46554,8342380.39393
01/01 04:15:00,26330145.55625,8344435.27615
01/01 04:20:00,26350793.15412,8346485.79323
01/01 04:25:00,26371249.3172,8348532.89974
01/01 04:30:00,26391450.46851,8350578.98764
01/01 04:35:00,26411467.83813,8352625.55758
01/01 04:40:00,26431239.2368,8354675.48717
01/01 04:45:00,26450827.04043,8356730.56334
01/01 04:50:00,26470230.00337,8358793.39891
01/01 04:55:00,26489483.57275,8360865.44898
01/01 05:00:00,26508541.67946,8362948.75609
01/01 05:05:00,26550447.69622,8406877.8387
01/01 05:10:00,26602592.95965,8450803.68867
01/01 05:15:00,26647839.16746,8494742.83218
