time_5min,elec.J,gas.J
 01/01  00:05:00,28542367,16728975
 01/01  00:10:00,28059135,16455081
 01/01  00:15:00,27562954,16181230
 01/01  00:20:00,27055564,15907422
 01/01  00:25:00,26558427,15633470
 01/01  00:30:00,26075441,15359527
 01/01  00:35:00,25585580,15085586
 01/01  00:40:00,25109645,14811637
 01/01  00:45:00,24650010,14537671
 01/01  00:50:00,24185288,14263678
 01/01  00:55:00,23716395,13989647
 01/01  01:00:00,23243237,13715569
 01/01  01:05:00,23250154,13717053
 01/01  01:10:00,23280601,13718514
 01/01  01:15:00,23320702,13719957
 01/01  01:20:00,23365484,13721389
 01/01  01:25:00,23413153,13722822
 01/01  01:30:00,23463235,13724259
 01/01  01:35:00,23514825,13725696
 01/01  01:40:00,23567796,13727125
 01/01  01:45:00,23621570,13728540
 01/01  01:50:00,23676112,13729932
 01/01  01:55:00,23731014,13731297
 01/01  02:00:00,23786251,13732631
 01/01  02:05:00,23870426,13776248
 01/01  02:10:00,23956748,13819826
 01/01  02:15:00,24044932,13863362
 01/01  02:20:00,24133389,13906855
 01/01  02:25:00,24221745,13950305
 01/01  02:30:00,24309860,13993711
 01/01  02:35:00,24397502,14037073
 01/01  02:40:00,24484431,14080390
 01/01  02:45:00,24570666,14123663
 01/01  02:50:00,24656988,14166893
 01/01  02:55:00,24742744,14210082
 01/01  03:00:00,24827760,14253231
 01/01  03:05:00,24926855,14305088
 01/01  03:10:00,25025359,14356911
 01/01  03:15:00,25125305,14408701
 01/01  03:20:00,25220667,14460460
 01/01  03:25:00,25321503,14512191
 01/01  03:30:00,25416182,14563895
 01/01  03:35:00,25513593,14615576
 01/01  03:40:00,25610161,14667235
 01/01  03:45:00,25703952,14718872
 01/01  03:50:00,25797966,14770493
 01/01  03:55:00,25891193,14822100
 01/01  04:00:00,25983272,14873696
 01/01  04:05:00,26033208,14874790
 01/01  04:10:00,26076237,14875879
 01/01  04:15:00,26117404,14876962
