plant_st,plant_name,fac_code,prim_mov,prim_fuel,tot_MW,cf,tot_MWh,nox_rate,so2_rate,co2_rate,ch4_rate,n2o_rate,co2eq_rate
NY,East River,2493,ADD,NG,716.2,0.49,3074438.01,1.22,0.05,1372.84,44.75,4.48,1374.32
NJ,Bayonne Energy Center,56964,ADD,NG,512,0.11,495441,0.09,0.01,1232.4,24.1,2.41,1233.65
NJ,Linden Cogen Plant,50006,ADD,NG,974.1,0.47,4026491.98,0.11,0,760.23,14.87,1.49,761.01
NY,500MW CC,56196,ADD,NG,528,0.67,3087324,0.04,0.01,873,17.07,1.71,873.89
NY,59th Street,2503,ADD,KER,17.1,0,631,3.61,1.08,2310.26,99.91,19.99,2318.55
NY,74th Street,2504,ADD,KER,37,0,928,2.93,0.86,1878.1,81.22,16.25,1884.84
NY,AES Johnson City,57972,ADD,MWH,8,0,0,0,0,0,0,0,0
NY,Al Turi,10549,ADD,LFG,2.4,0.55,11634,0,0,0,0,0,0
NY,Alice Falls Hydro Project,54391,ADD,,2.1,0,0,0,0,0,0,0,0
NY,Allegany Cogen,7784,ADD,NG,67,0.13,78407,0.23,0.01,1015.69,19.88,1.99,1016.72
NY,Allens Falls,2540,ADD,WAT,4,0.64,22464,0,0,0,0,0,0
NY,Arthur Kill Generating Station,2490,ADD,NG,895.5,0.21,1654806,0.94,0.01,1300.55,25.45,2.55,1301.88
NY,Ashokan,88,ADD,WAT,4.6,0.26,10290,0,0,0,0,0,0
NY,Astoria Energy,55375,ADD,NG,520,0.76,3473447,0.1,0.01,1633.92,31.97,3.2,1635.58
NY,Astoria Energy II,57664,ADD,NG,650,0.56,3206785.7,0.45,0.02,851.07,16.94,1.7,851.95
NY,Astoria Gas Turbines,55243,ADD,NG,646.9,0.02,94135,8.62,0.02,2074.47,41,4.11,2076.61
NY,Astoria Generating Station,8906,ADD,NG,1345,0.11,1345514.95,0.87,0.02,1413.94,27.62,2.77,1415.38
NY,Athens Generating Plant,55405,ADD,NG,1323,0.49,5732171,0.05,0,819.89,16.05,1.61,820.73
NY,Auburn LFG Energy Facility,57636,ADD,LFG,3.3,0.48,13864,0,0,0,0,0,0
NY,Auburn State Street,8009,ADD,NG,7,0,202,1.79,0.07,2268.32,45.14,4.52,2270.67
NY,Bassett Medical Center,54863,ADD,DFO,5.6,0,3,21.21,3.18,2554.37,109.32,21.87,2563.45
NY,Batavia Power Plant,54593,ADD,NG,67.3,0.17,99016,1.06,0.01,1023.7,20.03,2.01,1024.74
NY,Bayswater Peaking Facility LLC,55699,ADD,NG,60.5,0.25,133254,0.11,0.02,1442.57,30.34,3.43,1444.26
NY,Beardslee,2543,ADD,WAT,20,0.28,48324,0,0,0,0,0,0
NY,Beebee Island Hydro Plant,10531,ADD,WAT,9,0.52,40981,0,0,0,0,0,0
NY,Belfort,2544,ADD,WAT,2,0.55,9697,0,0,0,0,0,0
NY,Bennetts Bridge,2545,ADD,WAT,36,0.24,74361,0,0,0,0,0,0
NY,Bethlehem Energy Center,2539,ADD,NG,893.1,0.63,4903684,0.06,0,839.87,16.44,1.65,840.73
NY,Bethpage Power Plant,50292,ADD,NG,240,0.24,508161,0.45,0,936.77,18.33,1.84,937.72
NY,Binghamton Cogen,55600,ADD,,47.7,0,0,0,0,0,0,0,0
