time_hr,PVinv_W
1/1/2014 0:00,0
1/1/2014 1:00,0
1/1/2014 2:00,0
1/1/2014 3:00,0
1/1/2014 4:00,0
1/1/2014 5:00,0
1/1/2014 6:00,0
1/1/2014 7:00,1461.47
1/1/2014 8:00,10127.7
1/1/2014 9:00,39077.2
1/1/2014 10:00,58582.8
1/1/2014 11:00,58301.9
1/1/2014 12:00,65938.6
1/1/2014 13:00,57736.3
1/1/2014 14:00,48796.3
1/1/2014 15:00,29917.2
1/1/2014 16:00,7199.03
1/1/2014 17:00,0
1/1/2014 18:00,0
1/1/2014 19:00,0
1/1/2014 20:00,0
1/1/2014 21:00,0
1/1/2014 22:00,0
1/1/2014 23:00,0
1/2/2014 0:00,0
1/2/2014 1:00,0
1/2/2014 2:00,0
1/2/2014 3:00,0
1/2/2014 4:00,0
1/2/2014 5:00,0
1/2/2014 6:00,0
1/2/2014 7:00,7149.05
1/2/2014 8:00,31293
1/2/2014 9:00,50443.4
1/2/2014 10:00,62153.7
1/2/2014 11:00,68682.9
1/2/2014 12:00,68055.2
1/2/2014 13:00,58346.6
1/2/2014 14:00,48762
1/2/2014 15:00,16612.6
1/2/2014 16:00,3410.06
1/2/2014 17:00,0
1/2/2014 18:00,0
1/2/2014 19:00,0
1/2/2014 20:00,0
1/2/2014 21:00,0
1/2/2014 22:00,0
1/2/2014 23:00,0
1/3/2014 0:00,0
1/3/2014 1:00,0
1/3/2014 2:00,0
1/3/2014 3:00,0
1/3/2014 4:00,0
1/3/2014 5:00,0
1/3/2014 6:00,0
1/3/2014 7:00,829.907
1/3/2014 8:00,1493.41
1/3/2014 9:00,3753.37
1/3/2014 10:00,6802.29
1/3/2014 11:00,6838.28
1/3/2014 12:00,8063.74
1/3/2014 13:00,6408.95
1/3/2014 14:00,4832.47
1/3/2014 15:00,5660.45
1/3/2014 16:00,620.34
1/3/2014 17:00,0
1/3/2014 18:00,0
1/3/2014 19:00,0
1/3/2014 20:00,0
1/3/2014 21:00,0
1/3/2014 22:00,0
1/3/2014 23:00,0
1/4/2014 0:00,0
1/4/2014 1:00,0
1/4/2014 2:00,0
1/4/2014 3:00,0
1/4/2014 4:00,0
1/4/2014 5:00,0
1/4/2014 6:00,0
1/4/2014 7:00,1581.42
1/4/2014 8:00,19420.3
1/4/2014 9:00,41323.2
1/4/2014 10:00,46659
1/4/2014 11:00,53806.6
1/4/2014 12:00,48934.8
1/4/2014 13:00,31682.5
1/4/2014 14:00,32937.1
1/4/2014 15:00,14496.7
1/4/2014 16:00,1527.85
1/4/2014 17:00,0
1/4/2014 18:00,0
1/4/2014 19:00,0
1/4/2014 20:00,0
1/4/2014 21:00,0
1/4/2014 22:00,0
1/4/2014 23:00,0
1/5/2014 0:00,0
1/5/2014 1:00,0
1/5/2014 2:00,0
1/5/2014 3:00,0
1/5/2014 4:00,0
1/5/2014 5:00,0
1/5/2014 6:00,0
1/5/2014 7:00,1726.63
1/5/2014 8:00,19739.5
1/5/2014 9:00,38196
1/5/2014 10:00,52194.2
1/5/2014 11:00,63823
1/5/2014 12:00,63588
1/5/2014 13:00,56200.7
1/5/2014 14:00,41902.5
1/5/2014 15:00,21451.6
1/5/2014 16:00,2403.5
1/5/2014 17:00,0
1/5/2014 18:00,0
1/5/2014 19:00,0
1/5/2014 20:00,0
1/5/2014 21:00,0
1/5/2014 22:00,0
1/5/2014 23:00,0
1/6/2014 0:00,0
1/6/2014 1:00,0
1/6/2014 2:00,0
1/6/2014 3:00,0
1/6/2014 4:00,0
1/6/2014 5:00,0
1/6/2014 6:00,0
1/6/2014 7:00,8138.05
1/6/2014 8:00,32274.9
1/6/2014 9:00,51592
1/6/2014 10:00,61768.6
1/6/2014 11:00,57441.6
1/6/2014 12:00,40069.6
1/6/2014 13:00,60836
1/6/2014 14:00,51093.3
1/6/2014 15:00,24269.6
1/6/2014 16:00,3479.66
1/6/2014 17:00,0
1/6/2014 18:00,0
1/6/2014 19:00,0
1/6/2014 20:00,0
1/6/2014 21:00,0
1/6/2014 22:00,0
1/6/2014 23:00,0
1/7/2014 0:00,0
1/7/2014 1:00,0
1/7/2014 2:00,0
1/7/2014 3:00,0
1/7/2014 4:00,0
1/7/2014 5:00,0
1/7/2014 6:00,0
1/7/2014 7:00,1324.83
1/7/2014 8:00,12955.9
1/7/2014 9:00,13059
1/7/2014 10:00,12744
1/7/2014 11:00,17182.3
1/7/2014 12:00,14886.6
