time_5min,elec.J,gas.J
 01/01  00:05:00,34625794,491618.7
 01/01  00:10:00,34611881,491618.7
 01/01  00:15:00,34600175,491618.7
 01/01  00:20:00,34592166,610037
 01/01  00:25:00,34584843,664856.3
 01/01  00:30:00,34578135,661137.6
 01/01  00:35:00,34572789,659903.8
 01/01  00:40:00,34569510,655854.1
 01/01  00:45:00,34567882,649811.5
 01/01  00:50:00,34567299,642122.6
 01/01  00:55:00,34567621,631904.7
 01/01  01:00:00,34596934,619683.6
 01/01  01:05:00,34675247,662677.9
 01/01  01:10:00,34679501,703336.8
 01/01  01:15:00,34680858,742173.1
 01/01  01:20:00,34680419,779464.5
 01/01  01:25:00,34678716,814722.3
 01/01  01:30:00,34675908,848360.5
 01/01  01:35:00,34672207,880630.6
 01/01  01:40:00,34667771,911157.1
 01/01  01:45:00,34662744,940298.2
 01/01  01:50:00,34657239,968274.6
 01/01  01:55:00,34651337,994781.9
 01/01  02:00:00,34645107,1020122
 01/01  02:05:00,34638950,1053071
 01/01  02:10:00,34628577,1084815
 01/01  02:15:00,34617594,1115602
 01/01  02:20:00,34606144,1145590
 01/01  02:25:00,34594310,1174558
 01/01  02:30:00,34582158,1202720
 01/01  02:35:00,34569746,1230207
 01/01  02:40:00,34557122,1256831
 01/01  02:45:00,34544317,1282773
 01/01  02:50:00,34534120,1308148
 01/01  02:55:00,34527011,1332788
 01/01  03:00:00,34520252,1356850
 01/01  03:05:00,34513809,1382127
 01/01  03:10:00,34507634,1406782
 01/01  03:15:00,34501640,1430948
 01/01  03:20:00,34495784,1454707
 01/01  03:25:00,34490060,1477927
 01/01  03:30:00,34484449,1500722
 01/01  03:35:00,34478938,1523163
 01/01  03:40:00,34473513,1545132
 01/01  03:45:00,34468171,1566730
 01/01  03:50:00,34462905,1588018
 01/01  03:55:00,34457705,1608894
 01/01  04:00:00,34452573,1629443
 01/01  04:05:00,34447348,1639399
 01/01  04:10:00,34442613,1648969
 01/01  04:15:00,34438156,1658227
 01/01  04:20:00,34433940,1667220
 01/01  04:25:00,34429929,1675873
 01/01  04:30:00,34426111,1684248
 01/01  04:35:00,34422462,1692385
 01/01  04:40:00,34421087,1766403
 01/01  04:45:00,34418214,1788599
 01/01  04:50:00,34415325,1805963
 01/01  04:55:00,34412535,1822525
 01/01  05:00:00,34409848,1838498
 01/01  05:05:00,34470088,1869140
 01/01  05:10:00,34468514,1899125
 01/01  05:15:00,34466733,1928621
 01/01  05:20:00,34464624,1957719
 01/01  05:25:00,34462241,1986229
 01/01  05:30:00,34459675,2014258
 01/01  05:35:00,34456964,2042468
 01/01  05:40:00,34454142,2070323
 01/01  05:45:00,34451222,2097921
 01/01  05:50:00,34448239,2125331
 01/01  05:55:00,34445187,2152393
 01/01  06:00:00,34442094,2179210
 01/01  06:05:00,46450920,64604431
 01/01  06:10:00,40044779,54691237
 01/01  06:15:00,39539509,38131837
 01/01  06:20:00,39231931,26851667
 01/01  06:25:00,39206238,25771971
 01/01  06:30:00,39182988,24815780
 01/01  06:35:00,39161979,23945269
 01/01  06:40:00,39146702,23255342
 01/01  06:45:00,39133969,22650983
 01/01  06:50:00,39122392,22089099
 01/01  06:55:00,39113861,21622539
 01/01  07:00:00,39106793,21204683
 01/01  07:05:00,39528296,20822283
 01/01  07:10:00,39259198,20512269
 01/01  07:15:00,39260506,20231492
 01/01  07:20:00,39268022,19968106
 01/01  07:25:00,39273821,19738748
 01/01  07:30:00,39278915,19528945
 01/01  07:35:00,39284161,19331502
 01/01  07:40:00,39289578,19156631
 01/01  07:45:00,39294921,18995224
 01/01  07:50:00,39300120,18842696
 01/01  07:55:00,39305458,18705960
 01/01  08:00:00,39310744,18578892
 01/01  08:05:00,44050857,16091314
 01/01  08:10:00,44166366,15983013
 01/01  08:15:00,44268282,15880943
 01/01  08:20:00,44701334,15783449
 01/01  08:25:00,47638354,15693179
 01/01  08:30:00,47771126,15605049
 01/01  08:35:00,47877140,15518233
 01/01  08:40:00,47969857,15435054
 01/01  08:45:00,48056859,15353921
 01/01  08:50:00,48148038,15274349
 01/01  08:55:00,48219943,15198627
 01/01  09:00:00,48284968,15125631
 01/01  09:05:00,48348801,15054942
 01/01  09:10:00,48404493,14988151
 01/01  09:15:00,48457098,14924172
 01/01  09:20:00,48508798,14862491
 01/01  09:25:00,48556189,14804414
 01/01  09:30:00,48601772,14748940
 01/01  09:35:00,48643078,14695555
 01/01  09:40:00,48683080,14645369
 01/01  09:45:00,48720126,14597461
 01/01  09:50:00,48755883,14551352
 01/01  09:55:00,48789404,14508003
 01/01  10:00:00,48821768,14466592
 01/01  10:05:00,67122186,8428178
 01/01  10:10:00,67191933,8377127
 01/01  10:15:00,67250548,8328277
 01/01  10:20:00,67300533,8281116
 01/01  10:25:00,67344241,8236249
 01/01  10:30:00,67384379,8192798
 01/01  10:35:00,67418627,8150323
 01/01  10:40:00,67449527,8109494
 01/01  10:45:00,67478587,8069730
 01/01  10:50:00,67506387,8030741
 01/01  10:55:00,67532281,7993039
 01/01  11:00:00,67556989,7956199
 01/01  11:05:00,67581346,7921873
 01/01  11:10:00,67604324,7888572
 01/01  11:15:00,67626415,7855965
 01/01  11:20:00,67647886,7823885
 01/01  11:25:00,67668323,7792603
 01/01  11:30:00,67688068,7761880
